"ENSEMBL","SYMBOL","CHR","BEST.GWAS.ID","TWAS.P"
"ENSG00000000419","DPM1",20,"rs228835","0.55720"
"ENSG00000000460","C1orf112",1,"rs6656463","0.320223"
"ENSG00000000938","FGR",1,"rs1767523","0.904483"
"ENSG00000000971","CFH",1,"rs1998652","0.717352"
"ENSG00000001036","FUCA2",6,"rs223588","0.18179"
"ENSG00000001084","GCLC",6,"rs209513","0.78024"
"ENSG00000001167","NFYA",6,"rs1484267","0.40080"
"ENSG00000001460","STPG1",1,"rs6696136","0.665426"
"ENSG00000001561","ENPP4",6,"rs9472719","0.33186"
"ENSG00000001617","SEMA3F",3,"rs2023952","0.84953"
"ENSG00000001626","CFTR",7,"rs6973399","0.746515"
"ENSG00000001629","ANKIB1",7,"rs10252324","0.561915"
"ENSG00000001630","CYP51A1",7,"rs12667992","0.394859"
"ENSG00000001631","KRIT1",7,"rs10252324","0.348244"
"ENSG00000002016","RAD52",12,"rs9668496","0.74219"
"ENSG00000002549","LAP3",4,"rs2597793","0.121532"
"ENSG00000002587","HS3ST1",4,"rs16876075","0.098739"
"ENSG00000002726","AOC1",7,"rs2242141","0.535258"
"ENSG00000002746","HECW1",7,"rs583301","0.312215"
"ENSG00000002822","MAD1L1",7,"rs2005394","0.052258"
"ENSG00000002919","SNX11",17,"rs999493","3.70e-01"
"ENSG00000002933","TMEM176A",7,"rs2242141","0.654492"
"ENSG00000003137","CYP26B1",2,"rs6710050","0.144594"
"ENSG00000003147","ICA1",7,"rs35795180","0.558548"
"ENSG00000003249","DBNDD1",16,"rs12930631","0.082982"
"ENSG00000003393","ALS2",2,"rs12464769","0.094919"
"ENSG00000003400","CASP10",2,"rs2597900","0.652288"
"ENSG00000003436","TFPI",2,"rs6723083","0.809324"
"ENSG00000003509","NDUFAF7",2,"rs888096","0.428361"
"ENSG00000003756","RBM5",3,"rs2023952","0.85717"
"ENSG00000003987","MTMR7",8,"rs17634077","2.72e-02"
"ENSG00000003989","SLC7A2",8,"rs17634077","1.81e-01"
"ENSG00000004059","ARF5",7,"rs17864159","0.661301"
"ENSG00000004139","SARM1",17,"rs4795436","5.88e-02"
"ENSG00000004142","POLDIP2",17,"rs4795436","4.66e-01"
"ENSG00000004455","AK2",1,"rs17476969","0.943055"
"ENSG00000004468","CD38",4,"rs10033189","0.832107"
"ENSG00000004487","KDM1A",1,"rs7543975","0.860583"
"ENSG00000004534","RBM6",3,"rs2023952","0.62322"
"ENSG00000004660","CAMKK1",17,"rs8065080","8.40e-01"
"ENSG00000004700","RECQL",12,"rs12816706","0.18182"
"ENSG00000004776","HSPB6",19,"rs3746250","0.964904"
"ENSG00000004777","ARHGAP33",19,"rs3746250","0.026297"
"ENSG00000004779","NDUFAB1",16,"rs12447053","0.680595"
"ENSG00000004799","PDK4",7,"rs319318","0.090265"
"ENSG00000004809","SLC22A16",6,"rs9481067","0.72274"
"ENSG00000004838","ZMYND10",3,"rs2023952","0.35289"
"ENSG00000004864","SLC25A13",7,"rs319318","0.941353"
"ENSG00000004866","ST7",7,"rs9641562","0.878398"
"ENSG00000004866","ST7-OT3",7,"rs9641562","0.878398"
"ENSG00000004897","CDC27",17,"rs4968239","8.97e-01"
"ENSG00000004948","CALCR",7,"rs41496647","0.760734"
"ENSG00000004975","DVL2",17,"rs1509120","2.68e-02"
"ENSG00000005001","PRSS22",16,"rs11076933","0.376696"
"ENSG00000005007","UPF1",19,"rs7256986","0.597499"
"ENSG00000005020","SKAP2",7,"rs10951154","0.545296"
"ENSG00000005059","MCUB",4,"rs12508695","0.750485"
"ENSG00000005075","POLR2J",7,"rs11978670","0.803545"
"ENSG00000005100","DHX33",17,"rs16955093","2.96e-02"
"ENSG00000005108","THSD7A",7,"rs6943159","0.012237"
"ENSG00000005156","LIG3",17,"rs10512470","9.41e-01"
"ENSG00000005175","RPAP3",12,"rs7958245","0.94340"
"ENSG00000005187","ACSM3",16,"rs12930599","0.667923"
"ENSG00000005189","REXO5",16,"rs9933675","0.959326"
"ENSG00000005194","CIAPIN1",16,"rs8102","0.227220"
"ENSG00000005206","SPPL2B",19,"rs2269879","0.789579"
"ENSG00000005238","ATOSB",9,"rs12553321","0.22478"
"ENSG00000005243","COPZ2",17,"rs11079828","5.12e-01"
"ENSG00000005249","PRKAR2B",7,"rs6969923","0.191553"
"ENSG00000005339","CREBBP",16,"rs12148974","0.521693"
"ENSG00000005379","TSPOAP1",17,"rs8071217","3.34e-01"
"ENSG00000005381","MPO",17,"rs8071217","8.62e-01"
"ENSG00000005421","PON1",7,"rs2375006","0.959378"
"ENSG00000005436","GCFC2",2,"rs7573336","0.206475"
"ENSG00000005448","WDR54",2,"rs10169997","0.907653"
"ENSG00000005469","CROT",7,"rs11981403","0.254659"
"ENSG00000005471","ABCB4",7,"rs11981403","0.452086"
"ENSG00000005483","KMT2E",7,"rs13437626","0.224748"
"ENSG00000005486","RHBDD2",7,"rs1124922","0.749769"
"ENSG00000005513","SOX8",16,"rs606198","0.066814"
"ENSG00000005700","IBTK",6,"rs6908373","0.16789"
"ENSG00000005801","ZNF195",11,"rs4297442","0.57518"
"ENSG00000005812","FBXL3",13,"rs285669","0.16789"
"ENSG00000005844","ITGAL",16,"rs4243233","0.640500"
"ENSG00000005882","PDK2",17,"rs2018660","8.74e-01"
"ENSG00000005981","ASB4",7,"rs2375006","0.724409"
"ENSG00000006007","GDE1",16,"rs226859","0.452729"
"ENSG00000006016","CRLF1",19,"rs7256986","0.081960"
"ENSG00000006025","OSBPL7",17,"rs991108","3.37e-01"
"ENSG00000006042","TMEM98",17,"rs7224261","3.97e-01"
"ENSG00000006047","YBX2",17,"rs11652407","8.19e-01"
"ENSG00000006062","MAP3K14",17,"rs2867316","9.64e-01"
"ENSG00000006071","ABCC8",11,"rs4757544","0.80102"
"ENSG00000006118","TMEM132A",11,"rs17615103","0.42049"
"ENSG00000006125","AP2B1",17,"rs10512470","2.11e-02"
"ENSG00000006128","TAC1",7,"rs11979492","0.411646"
"ENSG00000006194","ZNF263",16,"rs11076933","0.787160"
"ENSG00000006210","CX3CL1",16,"rs8102","0.301032"
"ENSG00000006282","SPATA20",17,"rs11657251","4.65e-01"
"ENSG00000006283","CACNA1G",17,"rs11657251","2.52e-01"
"ENSG00000006327","TNFRSF12A",16,"rs11076933","0.278365"
"ENSG00000006451","RALA",7,"rs6958662","0.299270"
"ENSG00000006453","BAIAP2L1",7,"rs4526300","0.303480"
"ENSG00000006459","KDM7A",7,"rs8192819","0.895256"
"ENSG00000006468","ETV1",7,"rs6461070","0.173804"
"ENSG00000006530","AGK",7,"rs7793873","0.601670"
"ENSG00000006534","ALDH3B1",11,"rs1272686","0.18817"
"ENSG00000006555","TTC22",1,"rs1368883","0.632650"
"ENSG00000006606","CCL26",7,"rs1124922","0.602289"
"ENSG00000006607","FARP2",2,"rs13001905","0.990383"
"ENSG00000006611","USH1C",11,"rs4757544","0.81103"
"ENSG00000006625","GGCT",7,"rs7787428","0.397553"
"ENSG00000006634","DBF4",7,"rs12720066","0.385470"
"ENSG00000006638","TBXA2R",19,"rs350916","0.903691"
"ENSG00000006652","IFRD1",7,"rs6944057","0.751893"
"ENSG00000006695","COX10",17,"rs2323090","3.76e-03"
"ENSG00000006704","GTF2IRD1",7,"rs6968679","0.119447"
"ENSG00000006715","VPS41",7,"rs6948609","0.092749"
"ENSG00000006740","ARHGAP44",17,"rs17642085","4.04e-01"
"ENSG00000006744","ELAC2",17,"rs17642085","6.40e-02"
"ENSG00000006747","SCIN",7,"rs2109293","0.155317"
"ENSG00000006788","MYH13",17,"rs2051669","6.30e-01"
"ENSG00000006831","ADIPOR2",12,"rs2429175","0.87213"
"ENSG00000006837","CDKL3",5,"rs184947","0.66081"
"ENSG00000007047","MARK4",19,"rs8111989","0.660662"
"ENSG00000007062","PROM1",4,"rs4698491","0.433627"
"ENSG00000007080","CCDC124",19,"rs1862145","0.912471"
"ENSG00000007129","CEACAM21",19,"rs4803464","0.193458"
"ENSG00000007171","NOS2",17,"rs2125844","8.57e-01"
"ENSG00000007174","DNAH9",17,"rs758433","3.02e-01"
"ENSG00000007202","BLTP2",17,"rs4795436","8.64e-01"
"ENSG00000007216","SLC13A2",17,"rs4795436","3.61e-01"
"ENSG00000007237","GAS7",17,"rs2051669","1.47e-01"
"ENSG00000007255","TRAPPC6A",19,"rs8111989","0.681806"
"ENSG00000007264","MATK",19,"rs350916","0.928703"
"ENSG00000007306","CEACAM7",19,"rs4803464","0.321901"
"ENSG00000007312","CD79B",17,"rs3730043","7.49e-01"
"ENSG00000007341","ST7L",1,"rs4838960","0.025997"
"ENSG00000007376","RPUSD1",16,"rs606198","0.754281"
"ENSG00000007384","RHBDF1",16,"rs8051004","0.626258"
"ENSG00000007392","LUC7L",16,"rs8051004","0.626258"
"ENSG00000007402","CACNA2D2",3,"rs2023952","0.89894"
"ENSG00000007516","BAIAP3",16,"rs606198","0.960122"
"ENSG00000007520","TSR3",16,"rs606198","0.390892"
"ENSG00000007541","PIGQ",16,"rs8051004","0.057171"
"ENSG00000007866","TEAD3",6,"rs16874216","0.52118"
"ENSG00000007908","SELE",1,"rs6656463","0.421767"
"ENSG00000007923","DNAJC11",1,"rs6577584","0.986437"
"ENSG00000007933","FMO3",1,"rs2064074","0.936534"
"ENSG00000007944","MYLIP",6,"rs2294261","0.14130"
"ENSG00000008018","PSMB1",6,"rs1033583","0.17082"
"ENSG00000008083","JARID2",6,"rs2472793","0.63407"
"ENSG00000008118","CAMK1G",1,"rs996146","0.976400"
